CO(GT),NMHC(GT),C6H6(GT),NOx(GT),NO2(GT),PT08.S1(CO),PT08.S2(NMHC),PT08.S3(NOx),PT08.S4(NO2),PT08.S5(O3),T,RH,AH,Combined_Pollutant,AQI_Category
0.4,-200.0,2.0,19.0,27.0,772.0,584.0,1149.0,1414.0,566.0,22.7,59.2,1.6139,27.4,Very Unhealthy
0.5,-200.0,2.5,22.0,28.0,796.0,623.0,1064.0,1425.0,594.0,23.0,58.4,1.6223,28.5,Very Unhealthy
0.7,-200.0,3.5,34.0,36.0,875.0,682.0,983.0,1457.0,611.0,23.9,56.3,1.6489,36.7,Very Unhealthy
1.1,-200.0,6.0,61.0,59.0,955.0,811.0,841.0,1562.0,759.0,26.3,50.1,1.6889,60.1,Hazardous
1.0,-200.0,5.3,46.0,56.0,938.0,778.0,896.0,1520.0,700.0,32.1,34.0,1.6039,57.0,Hazardous
1.2,-200.0,6.3,56.0,70.0,954.0,826.0,870.0,1531.0,691.0,35.8,25.7,1.4861,71.2,Hazardous
1.1,-200.0,4.8,31.0,36.0,875.0,753.0,978.0,1402.0,579.0,38.3,19.8,1.3067,37.1,Very Unhealthy
0.6,-200.0,3.2,11.0,17.0,810.0,664.0,1123.0,1312.0,478.0,37.3,20.5,1.286,17.6,Unhealthy
0.4,-200.0,2.6,8.0,14.0,746.0,624.0,1227.0,1209.0,410.0,36.3,18.4,1.0976,14.4,Unhealthy
0.4,-200.0,2.4,14.0,24.0,738.0,610.0,1281.0,1204.0,404.0,36.8,16.9,1.0347,24.4,Very Unhealthy
0.5,-200.0,3.0,21.0,36.0,771.0,652.0,1223.0,1239.0,440.0,37.9,15.9,1.0296,36.5,Very Unhealthy
0.6,-200.0,3.1,26.0,43.0,799.0,658.0,1216.0,1254.0,461.0,36.7,17.1,1.0398,43.6,Hazardous
0.8,-200.0,3.4,37.0,60.0,831.0,679.0,1143.0,1291.0,526.0,33.8,21.9,1.1303,60.8,Hazardous
1.0,-200.0,4.6,53.0,81.0,885.0,743.0,1016.0,1379.0,647.0,32.6,24.6,1.1885,82.0,Hazardous
1.1,-200.0,4.4,56.0,87.0,883.0,731.0,988.0,1384.0,693.0,30.6,28.4,1.2247,88.1,Hazardous
1.1,-200.0,5.5,51.0,85.0,906.0,790.0,936.0,1430.0,729.0,29.4,30.5,1.2288,86.1,Hazardous
1.6,-200.0,8.2,79.0,91.0,982.0,906.0,784.0,1561.0,1002.0,28.4,34.4,1.314,92.6,Hazardous
0.9,-200.0,5.0,38.0,55.0,892.0,766.0,880.0,1399.0,797.0,28.3,34.1,1.2951,55.9,Hazardous
0.7,-200.0,4.0,25.0,42.0,841.0,711.0,956.0,1367.0,685.0,27.8,35.2,1.2968,42.7,Hazardous
0.7,-200.0,3.7,24.0,43.0,859.0,693.0,988.0,1377.0,710.0,25.3,39.7,1.2656,43.7,Hazardous
0.5,-200.0,3.1,11.0,20.0,810.0,657.0,1016.0,1337.0,629.0,24.5,41.5,1.2589,20.5,Very Unhealthy
0.3,-200.0,1.5,16.0,23.0,749.0,543.0,1238.0,1244.0,462.0,23.3,41.9,1.1856,23.3,Very Unhealthy
0.4,-200.0,2.4,43.0,43.0,766.0,616.0,1163.0,1306.0,530.0,21.5,45.6,1.1558,43.4,Hazardous
0.9,-200.0,5.4,86.0,68.0,865.0,783.0,893.0,1446.0,838.0,21.3,47.0,1.1793,68.9,Hazardous
1.3,-200.0,8.5,92.0,62.0,924.0,920.0,767.0,1534.0,946.0,22.2,45.0,1.1867,63.3,Hazardous
1.6,-200.0,10.9,102.0,65.0,973.0,1010.0,722.0,1616.0,1014.0,23.6,40.8,1.1746,66.6,Hazardous
2.1,-200.0,12.0,171.0,93.0,1028.0,1048.0,719.0,1624.0,1135.0,27.1,32.4,1.1462,95.1,Hazardous
1.4,-200.0,7.3,71.0,77.0,892.0,869.0,953.0,1363.0,632.0,37.4,14.7,0.9295,78.4,Hazardous
0.9,-200.0,4.6,53.0,60.0,836.0,741.0,1065.0,1277.0,479.0,38.6,14.6,0.9821,60.9,Hazardous
0.8,-200.0,4.0,61.0,67.0,824.0,708.0,1091.0,1256.0,463.0,35.8,17.8,1.0274,67.8,Hazardous
0.8,-200.0,3.8,53.0,57.0,825.0,702.0,1077.0,1267.0,458.0,38.4,16.4,1.0957,57.8,Hazardous
1.0,-200.0,5.0,61.0,60.0,871.0,761.0,1015.0,1346.0,520.0,39.7,15.3,1.0963,61.0,Hazardous
1.3,-200.0,6.9,72.0,69.0,903.0,853.0,930.0,1420.0,606.0,38.8,15.8,1.0706,70.3,Hazardous
1.3,-200.0,7.0,67.0,77.0,944.0,857.0,880.0,1463.0,631.0,35.2,22.3,1.2467,78.3,Hazardous
1.3,-200.0,6.8,70.0,77.0,969.0,850.0,857.0,1503.0,695.0,31.7,28.2,1.2962,78.3,Hazardous
1.6,-200.0,8.5,81.0,87.0,1005.0,919.0,788.0,1543.0,871.0,30.4,30.9,1.3219,88.6,Hazardous
1.4,-200.0,8.0,79.0,88.0,972.0,898.0,807.0,1508.0,879.0,29.5,32.1,1.3005,89.4,Hazardous
1.3,-200.0,5.7,73.0,84.0,960.0,798.0,854.0,1459.0,780.0,28.0,34.9,1.2989,85.3,Hazardous
1.0,-200.0,5.1,57.0,65.0,946.0,767.0,870.0,1443.0,728.0,28.2,36.6,1.3722,66.0,Hazardous
0.9,-200.0,5.5,45.0,54.0,959.0,787.0,830.0,1460.0,821.0,26.5,40.7,1.3873,54.9,Hazardous
0.6,-200.0,3.1,25.0,37.0,877.0,658.0,964.0,1349.0,663.0,28.3,36.7,1.3878,37.6,Very Unhealthy
0.5,-200.0,2.9,23.0,36.0,867.0,645.0,1001.0,1385.0,656.0,25.7,43.8,1.4233,36.5,Very Unhealthy
0.4,-200.0,2.2,18.0,29.0,820.0,597.0,1069.0,1346.0,603.0,24.3,48.3,1.4449,29.4,Very Unhealthy
0.4,-200.0,2.5,23.0,25.0,828.0,618.0,1039.0,1354.0,560.0,23.6,49.2,1.4153,25.4,Very Unhealthy
1.0,-200.0,5.6,59.0,41.0,929.0,791.0,841.0,1493.0,789.0,22.2,53.9,1.4201,42.0,Hazardous
2.2,-200.0,12.9,135.0,68.0,1118.0,1079.0,638.0,1761.0,1145.0,22.5,52.3,1.41,70.2,Hazardous
2.5,-200.0,16.0,167.0,82.0,1155.0,1181.0,580.0,1850.0,1302.0,24.3,47.8,1.4321,84.5,Hazardous
1.4,-200.0,7.4,83.0,71.0,1023.0,875.0,785.0,1590.0,711.0,36.4,27.1,1.6226,72.4,Hazardous
1.7,-200.0,9.1,94.0,78.0,1064.0,942.0,735.0,1650.0,801.0,36.8,26.2,1.5984,79.7,Hazardous
1.5,-200.0,8.9,84.0,72.0,1042.0,936.0,759.0,1630.0,770.0,36.4,26.8,1.6038,73.5,Hazardous
1.7,-200.0,9.2,90.0,74.0,1059.0,947.0,733.0,1671.0,813.0,33.3,32.8,1.6527,75.7,Hazardous
1.6,-200.0,8.5,91.0,70.0,1050.0,921.0,743.0,1683.0,851.0,31.3,39.5,1.7798,71.6,Hazardous
1.4,-200.0,7.9,70.0,55.0,1025.0,896.0,738.0,1693.0,823.0,29.9,44.7,1.8511,56.4,Hazardous
1.4,-200.0,6.1,75.0,54.0,1029.0,816.0,804.0,1624.0,778.0,29.1,48.4,1.9186,55.4,Hazardous
1.4,-200.0,6.4,72.0,53.0,1055.0,831.0,769.0,1686.0,827.0,28.0,52.9,1.964,54.4,Hazardous
1.2,-200.0,5.7,59.0,46.0,1001.0,799.0,800.0,1642.0,753.0,27.7,53.0,1.9423,47.2,Hazardous
0.9,-200.0,4.4,48.0,38.0,936.0,730.0,864.0,1551.0,726.0,27.7,52.6,1.9202,38.9,Very Unhealthy
0.6,-200.0,2.3,41.0,30.0,863.0,608.0,1035.0,1465.0,597.0,28.3,49.5,1.8782,30.6,Very Unhealthy
0.5,-200.0,1.9,11.0,16.0,841.0,578.0,1144.0,1464.0,463.0,27.7,52.5,1.923,16.5,Unhealthy
0.5,-200.0,2.4,11.0,12.0,871.0,611.0,1077.0,1494.0,526.0,27.5,53.0,1.9097,12.5,Unhealthy
0.8,-200.0,4.7,37.0,38.0,962.0,747.0,862.0,1605.0,712.0,27.1,54.4,1.9168,38.8,Very Unhealthy
1.4,-200.0,7.8,72.0,56.0,1083.0,889.0,725.0,1734.0,918.0,27.6,52.1,1.8936,57.4,Hazardous
1.2,-200.0,7.8,53.0,57.0,1061.0,891.0,721.0,1697.0,894.0,29.0,48.5,1.9133,58.2,Hazardous
1.0,-200.0,6.3,31.0,39.0,1012.0,824.0,803.0,1612.0,710.0,31.0,42.9,1.8909,40.0,Very Unhealthy
1.2,-200.0,6.5,47.0,47.0,1031.0,834.0,793.0,1640.0,737.0,32.5,39.4,1.8982,48.2,Hazardous
1.1,-200.0,6.1,33.0,35.0,1011.0,816.0,830.0,1614.0,680.0,36.9,30.9,1.8934,36.1,Very Unhealthy
1.2,-200.0,6.3,35.0,44.0,1009.0,824.0,822.0,1606.0,670.0,36.2,30.6,1.8105,45.2,Hazardous
1.1,-200.0,5.6,32.0,43.0,980.0,793.0,858.0,1549.0,654.0,37.7,27.7,1.778,44.1,Hazardous
1.0,-200.0,5.8,23.0,34.0,961.0,803.0,852.0,1552.0,618.0,37.1,27.2,1.6874,35.0,Very Unhealthy
1.0,-200.0,5.4,27.0,36.0,966.0,784.0,870.0,1530.0,652.0,39.5,24.3,1.7216,37.0,Very Unhealthy
1.2,-200.0,6.8,32.0,44.0,1022.0,849.0,813.0,1583.0,732.0,39.9,23.8,1.7127,45.2,Hazardous
1.7,-200.0,9.3,51.0,63.0,1091.0,953.0,723.0,1688.0,853.0,39.6,24.3,1.7255,64.7,Hazardous
1.7,-200.0,8.5,46.0,60.0,1063.0,919.0,735.0,1676.0,821.0,37.2,29.1,1.8185,61.7,Hazardous
1.7,-200.0,9.3,62.0,66.0,1116.0,952.0,702.0,1759.0,895.0,33.9,37.1,1.9264,67.7,Hazardous
1.7,-200.0,7.4,65.0,68.0,1101.0,875.0,722.0,1748.0,927.0,31.6,43.6,1.9944,69.7,Hazardous
1.6,-200.0,8.2,86.0,83.0,937.0,908.0,822.0,1466.0,826.0,32.9,24.9,1.2269,84.6,Hazardous
1.3,-200.0,5.9,57.0,64.0,902.0,808.0,912.0,1408.0,632.0,34.4,23.5,1.2541,65.3,Hazardous
1.0,-200.0,4.7,39.0,50.0,860.0,748.0,955.0,1344.0,532.0,34.3,22.5,1.1974,51.0,Hazardous
0.9,-200.0,4.1,41.0,53.0,843.0,716.0,1005.0,1305.0,496.0,33.4,21.6,1.0927,53.9,Hazardous
1.0,-200.0,4.9,47.0,57.0,872.0,760.0,979.0,1314.0,513.0,36.1,18.4,1.0827,58.0,Hazardous
1.1,-200.0,5.2,45.0,55.0,857.0,775.0,979.0,1258.0,512.0,37.3,15.4,0.9692,56.1,Hazardous
1.5,-200.0,7.5,60.0,70.0,922.0,878.0,880.0,1363.0,615.0,36.8,16.2,0.9922,71.5,Hazardous
1.5,-200.0,7.4,51.0,68.0,951.0,875.0,856.0,1406.0,600.0,34.9,20.9,1.1463,69.5,Hazardous
1.6,-200.0,7.8,53.0,73.0,962.0,891.0,813.0,1442.0,634.0,30.8,26.5,1.1603,74.6,Hazardous
1.7,-200.0,8.6,72.0,92.0,957.0,926.0,758.0,1480.0,830.0,28.9,28.3,1.1078,93.7,Hazardous
1.4,-200.0,6.5,62.0,80.0,928.0,837.0,808.0,1410.0,871.0,27.0,30.7,1.079,81.4,Hazardous
1.2,-200.0,6.8,41.0,60.0,895.0,846.0,819.0,1371.0,787.0,26.6,30.6,1.0459,61.2,Hazardous
1.1,-200.0,5.7,32.0,49.0,902.0,797.0,845.0,1355.0,841.0,26.0,33.1,1.0955,50.1,Hazardous
1.1,-200.0,5.8,44.0,53.0,904.0,801.0,852.0,1400.0,862.0,24.1,37.9,1.1204,54.1,Hazardous
1.2,-200.0,5.7,29.0,50.0,919.0,799.0,844.0,1409.0,881.0,22.2,43.1,1.1396,51.2,Hazardous
0.7,-200.0,3.2,18.0,34.0,812.0,663.0,982.0,1265.0,709.0,22.8,41.3,1.1284,34.7,Very Unhealthy
0.4,-200.0,1.7,12.0,21.0,762.0,563.0,1181.0,1208.0,492.0,21.7,42.6,1.0907,21.4,Very Unhealthy
0.7,-200.0,2.8,39.0,48.0,786.0,642.0,1057.0,1270.0,592.0,20.2,47.1,1.1021,48.7,Hazardous
1.1,-200.0,5.7,83.0,71.0,868.0,798.0,866.0,1392.0,824.0,20.1,47.8,1.1093,72.1,Hazardous
1.6,-200.0,10.0,149.0,94.0,965.0,977.0,725.0,1515.0,1014.0,20.6,45.5,1.0925,95.6,Hazardous
1.0,-200.0,6.0,75.0,86.0,934.0,811.0,896.0,1343.0,553.0,33.8,22.8,1.1781,87.0,Hazardous
1.7,-200.0,8.7,87.0,90.0,1055.0,927.0,757.0,1520.0,716.0,36.9,20.9,1.2864,91.7,Hazardous
1.7,-200.0,9.0,80.0,87.0,1081.0,938.0,728.0,1568.0,714.0,33.9,30.0,1.56,88.7,Hazardous
1.4,-200.0,6.8,70.0,65.0,1072.0,850.0,737.0,1604.0,702.0,29.8,43.4,1.7988,66.4,Hazardous
1.3,-200.0,5.2,67.0,61.0,1038.0,773.0,749.0,1568.0,687.0,27.5,50.4,1.8274,62.3,Hazardous
1.3,-200.0,5.7,66.0,62.0,1059.0,800.0,740.0,1604.0,739.0,27.5,50.4,1.8284,63.3,Hazardous
1.6,-200.0,6.9,97.0,85.0,1070.0,852.0,704.0,1639.0,867.0,28.1,48.0,1.7933,86.6,Hazardous
1.8,-200.0,7.8,90.0,83.0,1093.0,893.0,677.0,1678.0,927.0,26.9,49.6,1.7299,84.8,Hazardous
1.5,-200.0,6.8,99.0,84.0,1016.0,849.0,729.0,1609.0,872.0,26.0,48.0,1.5899,85.5,Hazardous
1.3,-200.0,6.3,71.0,71.0,988.0,825.0,756.0,1559.0,848.0,24.9,50.6,1.5747,72.3,Hazardous
1.1,-200.0,4.7,59.0,62.0,930.0,749.0,823.0,1464.0,777.0,23.7,53.2,1.5418,63.1,Hazardous
0.6,-200.0,3.6,26.0,40.0,884.0,686.0,908.0,1439.0,651.0,22.9,56.1,1.5492,40.6,Hazardous
0.7,-200.0,4.4,47.0,50.0,913.0,730.0,883.0,1493.0,774.0,23.3,55.5,1.5636,50.7,Hazardous
1.1,-200.0,6.4,108.0,78.0,994.0,829.0,784.0,1581.0,982.0,23.6,54.2,1.5583,79.1,Hazardous
1.9,-200.0,11.9,160.0,89.0,1173.0,1047.0,631.0,1815.0,1175.0,24.9,52.9,1.643,90.9,Hazardous
2.2,-200.0,12.1,146.0,93.0,1151.0,1053.0,623.0,1835.0,1152.0,30.2,43.2,1.823,95.2,Hazardous
2.0,-200.0,9.3,126.0,95.0,1122.0,951.0,687.0,1729.0,1022.0,31.2,41.9,1.871,97.0,Hazardous
1.7,-200.0,8.7,90.0,78.0,1111.0,927.0,707.0,1715.0,922.0,33.9,36.0,1.8692,79.7,Hazardous
1.6,-200.0,7.9,84.0,76.0,1058.0,894.0,736.0,1648.0,825.0,33.9,34.1,1.7754,77.6,Hazardous
1.3,-200.0,6.2,60.0,66.0,972.0,820.0,811.0,1535.0,630.0,34.4,30.6,1.6402,67.3,Hazardous
1.3,-200.0,6.3,66.0,71.0,985.0,826.0,808.0,1544.0,621.0,35.3,28.5,1.6034,72.3,Hazardous
1.3,-200.0,6.0,57.0,61.0,1004.0,814.0,808.0,1520.0,602.0,36.3,28.3,1.6851,62.3,Hazardous
1.6,-200.0,7.9,71.0,73.0,1030.0,897.0,733.0,1592.0,668.0,35.3,29.4,1.6577,74.6,Hazardous
1.3,-200.0,5.8,51.0,54.0,965.0,802.0,821.0,1504.0,564.0,32.5,34.1,1.6453,55.3,Hazardous
1.4,-200.0,6.3,49.0,53.0,987.0,824.0,793.0,1541.0,581.0,29.1,42.1,1.6695,54.4,Hazardous
1.4,-200.0,6.0,59.0,69.0,923.0,811.0,804.0,1434.0,604.0,27.8,35.6,1.3116,70.4,Hazardous
1.3,-200.0,6.3,66.0,77.0,872.0,824.0,853.0,1346.0,590.0,27.0,30.0,1.0542,78.3,Hazardous
1.4,-200.0,6.8,72.0,83.0,939.0,849.0,804.0,1479.0,650.0,26.3,37.3,1.2555,84.4,Hazardous
1.5,-200.0,7.0,89.0,94.0,954.0,855.0,792.0,1474.0,745.0,25.2,40.8,1.2877,95.5,Hazardous
1.5,-200.0,7.0,75.0,84.0,969.0,857.0,753.0,1485.0,821.0,24.3,43.3,1.2973,85.5,Hazardous
0.9,-200.0,5.0,38.0,55.0,882.0,763.0,879.0,1388.0,656.0,23.3,45.3,1.2794,55.9,Hazardous
0.6,-200.0,2.8,24.0,35.0,805.0,637.0,1048.0,1276.0,520.0,24.1,44.0,1.3034,35.6,Very Unhealthy
0.5,-200.0,2.8,40.0,45.0,842.0,640.0,1070.0,1293.0,595.0,23.7,46.7,1.3501,45.5,Hazardous
1.0,-200.0,-200.0,63.0,59.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,60.0,Hazardous
1.9,-200.0,-200.0,121.0,83.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,84.9,Hazardous
2.6,-200.0,-200.0,143.0,90.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,92.6,Hazardous
1.7,-200.0,-200.0,104.0,87.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,88.7,Hazardous
1.7,-200.0,-200.0,111.0,83.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,84.7,Hazardous
1.4,-200.0,-200.0,83.0,71.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,72.4,Hazardous
1.6,-200.0,-200.0,90.0,77.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,78.6,Hazardous
1.3,-200.0,-200.0,82.0,75.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,76.3,Hazardous
0.9,-200.0,-200.0,48.0,52.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,52.9,Hazardous
1.4,-200.0,-200.0,89.0,76.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,77.4,Hazardous
1.0,-200.0,-200.0,58.0,60.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,61.0,Hazardous
1.9,-200.0,-200.0,103.0,88.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,89.9,Hazardous
2.1,-200.0,-200.0,115.0,91.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,93.1,Hazardous
1.7,-200.0,-200.0,108.0,91.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,92.7,Hazardous
1.0,-200.0,-200.0,60.0,68.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,69.0,Hazardous
1.1,-200.0,-200.0,68.0,71.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,72.1,Hazardous
0.7,-200.0,-200.0,36.0,49.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,49.7,Hazardous
1.3,-200.0,-200.0,81.0,71.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,72.3,Hazardous
1.3,-200.0,-200.0,91.0,76.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,77.3,Hazardous
1.0,-200.0,-200.0,65.0,67.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,68.0,Hazardous
0.6,-200.0,-200.0,46.0,58.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,58.6,Hazardous
0.7,-200.0,-200.0,71.0,53.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,53.7,Hazardous
1.1,-200.0,-200.0,92.0,52.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,53.1,Hazardous
2.4,-200.0,-200.0,201.0,68.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,70.4,Hazardous
2.4,-200.0,-200.0,169.0,69.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,71.4,Hazardous
2.3,-200.0,-200.0,158.0,83.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,85.3,Hazardous
1.5,-200.0,-200.0,92.0,89.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,90.5,Hazardous
1.4,-200.0,-200.0,82.0,88.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,89.4,Hazardous
1.5,-200.0,-200.0,85.0,89.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,90.5,Hazardous
1.6,-200.0,-200.0,96.0,92.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,93.6,Hazardous
1.2,-200.0,-200.0,74.0,85.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,86.2,Hazardous
0.8,-200.0,-200.0,50.0,69.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,69.8,Hazardous
0.7,-200.0,-200.0,41.0,58.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,58.7,Hazardous
0.6,-200.0,-200.0,36.0,49.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,49.6,Hazardous
0.6,-200.0,2.5,40.0,56.0,792.0,621.0,1015.0,1322.0,714.0,20.0,59.3,1.3681,56.6,Hazardous
0.4,-200.0,1.7,25.0,33.0,749.0,559.0,1145.0,1255.0,584.0,22.5,48.6,1.3077,33.4,Very Unhealthy
0.5,-200.0,3.4,38.0,39.0,803.0,676.0,975.0,1303.0,676.0,19.5,57.0,1.2739,39.5,Very Unhealthy
0.7,-200.0,4.3,38.0,43.0,818.0,726.0,921.0,1330.0,685.0,19.6,56.1,1.2651,43.7,Hazardous
1.2,-200.0,7.1,75.0,62.0,932.0,861.0,767.0,1483.0,894.0,20.7,53.3,1.287,63.2,Hazardous
1.7,-200.0,8.3,104.0,81.0,977.0,913.0,744.0,1512.0,977.0,24.7,41.8,1.2839,82.7,Hazardous
1.5,-200.0,7.7,85.0,86.0,975.0,887.0,829.0,1478.0,737.0,32.3,27.2,1.2933,87.5,Hazardous
1.2,-200.0,7.2,30.0,37.0,958.0,867.0,828.0,1468.0,660.0,34.3,24.5,1.3021,38.2,Very Unhealthy
1.1,-200.0,5.8,49.0,64.0,903.0,805.0,886.0,1361.0,581.0,33.4,22.5,1.1398,65.1,Hazardous
1.4,-200.0,7.6,132.0,71.0,1040.0,882.0,756.0,1560.0,635.0,34.5,28.6,1.5393,72.4,Hazardous
2.0,-200.0,10.1,166.0,82.0,1093.0,981.0,666.0,1676.0,733.0,32.7,33.0,1.5987,84.0,Hazardous
2.0,-200.0,10.3,165.0,87.0,1079.0,988.0,633.0,1694.0,899.0,26.2,47.8,1.5979,89.0,Hazardous
1.9,-200.0,9.5,189.0,96.0,1046.0,960.0,671.0,1637.0,899.0,23.7,55.4,1.6031,97.9,Hazardous
1.3,-200.0,7.0,136.0,79.0,953.0,858.0,742.0,1544.0,780.0,22.8,58.5,1.5992,80.3,Hazardous
0.7,-200.0,3.3,83.0,61.0,864.0,673.0,947.0,1412.0,636.0,22.8,58.5,1.5985,61.7,Hazardous
0.5,-200.0,2.8,72.0,48.0,838.0,639.0,963.0,1391.0,596.0,20.8,64.9,1.571,48.5,Hazardous
0.6,-200.0,4.3,121.0,63.0,913.0,728.0,802.0,1418.0,887.0,19.7,66.8,1.5184,63.6,Hazardous
1.3,-200.0,8.5,268.0,92.0,1039.0,921.0,687.0,1556.0,1115.0,19.8,64.3,1.4678,93.3,Hazardous
2.0,-200.0,11.3,162.0,80.0,1027.0,1024.0,700.0,1588.0,814.0,31.3,29.1,1.3054,82.0,Hazardous
1.7,-200.0,10.4,189.0,93.0,996.0,992.0,722.0,1580.0,727.0,31.1,28.6,1.2718,94.7,Hazardous
1.5,-200.0,7.5,167.0,96.0,962.0,880.0,726.0,1484.0,1050.0,24.4,45.6,1.3779,97.5,Hazardous
0.8,-200.0,5.3,99.0,73.0,874.0,776.0,846.0,1416.0,873.0,23.1,49.9,1.3891,73.8,Hazardous
0.6,-200.0,4.0,87.0,65.0,834.0,709.0,907.0,1348.0,835.0,21.8,54.1,1.4004,65.6,Hazardous
0.7,-200.0,4.6,164.0,90.0,865.0,745.0,866.0,1394.0,901.0,21.0,56.9,1.3999,90.7,Hazardous
0.8,-200.0,5.8,87.0,58.0,903.0,803.0,819.0,1471.0,853.0,21.8,55.5,1.4323,58.8,Hazardous
2.9,-200.0,20.0,93.0,27.0,1236.0,1297.0,542.0,1997.0,1321.0,21.6,57.2,1.4607,29.9,Very Unhealthy
5.2,-200.0,30.0,417.0,67.0,1464.0,1552.0,419.0,2366.0,1738.0,22.8,54.2,1.4886,72.2,Hazardous
3.3,-200.0,18.7,406.0,96.0,1258.0,1261.0,514.0,1940.0,1603.0,26.2,45.0,1.5098,99.3,Hazardous
1.3,-200.0,7.7,169.0,64.0,1016.0,888.0,776.0,1485.0,1040.0,23.1,47.0,1.3122,65.3,Hazardous
2.5,-200.0,13.9,231.0,72.0,1228.0,1113.0,628.0,1719.0,1324.0,23.7,46.2,1.3376,74.5,Hazardous
3.4,-200.0,22.0,232.0,73.0,1311.0,1350.0,529.0,1957.0,1486.0,25.8,41.9,1.3688,76.4,Hazardous
2.1,-200.0,10.2,145.0,64.0,1081.0,983.0,703.0,1546.0,1079.0,27.3,38.3,1.3669,66.1,Hazardous
2.2,-200.0,10.4,170.0,74.0,1104.0,993.0,705.0,1539.0,1081.0,31.0,29.1,1.2885,76.2,Hazardous
1.7,-200.0,8.0,214.0,89.0,991.0,898.0,787.0,1412.0,806.0,31.6,25.5,1.1638,90.7,Hazardous
1.2,-200.0,7.4,141.0,98.0,980.0,873.0,1088.0,1258.0,949.0,23.2,30.5,0.8558,99.2,Hazardous
0.6,-200.0,3.8,105.0,89.0,859.0,698.0,1254.0,1157.0,819.0,22.3,33.6,0.8959,89.6,Hazardous
0.2,-200.0,2.3,74.0,68.0,806.0,605.0,1366.0,1132.0,725.0,21.4,35.7,0.8982,68.2,Hazardous
0.4,-200.0,2.7,91.0,65.0,813.0,631.0,1327.0,1108.0,710.0,21.7,33.4,0.8545,65.4,Hazardous
0.6,-200.0,4.9,143.0,81.0,889.0,760.0,1224.0,1213.0,806.0,20.3,35.5,0.8342,81.6,Hazardous
1.2,-200.0,7.3,147.0,96.0,1031.0,871.0,950.0,1393.0,972.0,25.2,38.1,1.2049,97.2,Hazardous
1.0,-200.0,5.5,101.0,75.0,969.0,787.0,1035.0,1350.0,799.0,24.4,39.1,1.1784,76.0,Hazardous
0.5,-200.0,3.5,69.0,58.0,881.0,680.0,1175.0,1251.0,630.0,23.7,39.1,1.1289,58.5,Hazardous
0.4,-200.0,2.9,49.0,41.0,866.0,644.0,1162.0,1218.0,629.0,24.5,38.5,1.1688,41.4,Hazardous
0.5,-200.0,3.6,91.0,55.0,895.0,689.0,1134.0,1250.0,709.0,22.4,43.5,1.1624,55.5,Hazardous
